call_oi,call_chng_oi,call_volume,call_iv,call_ltp,call_net_chng,call_bid_qty,call_bid_price,call_ask_price,call_ask_qty,strike,put_bid_qty,put_bid_price,put_ask_price,put_ask_qty,put_net_chng,put_ltp,put_iv,put_volume,put_chng_oi,put_oi,asset,expiry_date
1.0,0.0,0.0,20.34,8000.0,,870.0,11169.8,13910.7,870.0,43000,120.0,71.0,74.0,30.0,-137.05,71.0,38.96,126.0,-34.0,198.0,BANKNIFTY,26-May-2026
0.0,0.0,0.0,20.34,8358.175,,900.0,10263.85,13358.35,870.0,43500,8070.0,20.5,,,,61.0,38.105000000000004,0.0,0.0,0.0,BANKNIFTY,26-May-2026
15.0,0.0,0.0,20.34,8716.35,,870.0,10413.65,12698.25,870.0,44000,73800.0,25.45,,,,51.0,37.25,0.0,0.0,1.0,BANKNIFTY,26-May-2026
0.0,0.0,0.0,20.34,8589.405,,900.0,9361.3,12367.95,870.0,44500,23940.0,21.5,,,,76.25,36.394999999999996,0.0,0.0,0.0,BANKNIFTY,26-May-2026
0.0,0.0,0.0,20.34,8462.460000000001,,870.0,9090.95,11934.1,870.0,45000,30.0,100.0,108.0,60.0,-149.4,101.5,35.54,362.0,44.0,56.0,BANKNIFTY,26-May-2026
0.0,0.0,0.0,20.34,8335.515,,900.0,9114.95,12040.8,870.0,45300,90.0,19.2,,,,104.3125,35.339999999999996,0.0,0.0,0.0,BANKNIFTY,26-May-2026
0.0,0.0,0.0,20.34,8208.57,,900.0,9029.45,11931.0,870.0,45400,900.0,0.15,,,,107.125,35.14,0.0,0.0,0.0,BANKNIFTY,26-May-2026
0.0,0.0,0.0,20.34,8081.625,,900.0,8904.15,11822.4,870.0,45500,15000.0,24.15,,,,109.9375,34.94,0.0,0.0,0.0,BANKNIFTY,26-May-2026
0.0,0.0,0.0,20.34,7954.68,,870.0,8809.65,11664.35,870.0,45600,900.0,0.15,,,,112.75,34.739999999999995,0.0,0.0,0.0,BANKNIFTY,26-May-2026
0.0,0.0,0.0,20.34,7827.735,,870.0,8704.15,11396.0,870.0,45700,900.0,0.15,,,,115.5625,34.54,0.0,0.0,0.0,BANKNIFTY,26-May-2026
0.0,0.0,0.0,20.34,7700.79,,870.0,8596.05,11402.65,870.0,45800,900.0,0.15,,,,118.375,34.339999999999996,0.0,0.0,0.0,BANKNIFTY,26-May-2026
