CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,-,-,-,"8,000.00",-,870,"11,169.80","13,910.70",870,"43,000.00",120,71.00,74.00,30,-137.05,71.00,38.96,126,-34,198,
,-,-,-,-,-,-,900,"10,263.85","13,358.35",870,"43,500.00","8,070",20.50,-,-,-,-,-,-,-,-,
,15,-,-,-,"8,716.35",-,870,"10,413.65","12,698.25",870,"44,000.00","73,800",25.45,-,-,-,51.00,-,-,-,1,
,-,-,-,-,-,-,900,"9,361.30","12,367.95",870,"44,500.00","23,940",21.50,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,870,"9,090.95","11,934.10",870,"45,000.00",30,100.00,108.00,60,-149.40,101.50,35.54,362,44,56,
,-,-,-,-,-,-,900,"9,114.95","12,040.80",870,"45,300.00",90,19.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,"9,029.45","11,931.00",870,"45,400.00",900,0.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,"8,904.15","11,822.40",870,"45,500.00","15,000",24.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,870,"8,809.65","11,664.35",870,"45,600.00",900,0.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,870,"8,704.15","11,396.00",870,"45,700.00",900,0.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,870,"8,596.05","11,402.65",870,"45,800.00",900,0.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,"8,646.90","11,290.40",870,"45,900.00",900,0.15,-,-,-,-,-,-,-,-,
,76,-,-,-,"7,446.90",-,210,"8,747.95","10,615.75",870,"46,000.00",30,125.00,-,-,-279.80,124.00,33.94,837,-124,72,
,-,-,-,-,-,-,900,"8,456.50","11,126.10",870,"46,100.00",120,0.20,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,870,"8,355.10","10,702.80",870,"46,200.00",900,0.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,"8,263.30","10,612.65",870,"46,300.00",900,0.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,"8,160.70","10,500.25",870,"46,400.00",900,0.15,-,-,-,-,-,-,-,-,
,108,-,-,-,"5,000.00",-,270,"8,338.80","10,060.85",90,"46,500.00",30,134.00,176.45,870,-328.25,140.00,33.29,90,-29,100,
,-,-,-,-,-,-,900,"7,306.60","10,556.65",870,"46,600.00",900,0.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,870,"7,226.30","10,449.15",870,"46,700.00",900,0.10,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,"7,117.65","10,119.50",870,"46,800.00",900,0.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,870,"6,998.20","10,025.25",870,"46,900.00",900,0.15,-,-,-,-,-,-,-,-,
,23,1,1,-,"8,385.00","2,253.00",870,"7,769.80","9,565.00",870,"47,000.00",30,160.00,170.00,30,-357.90,160.05,32.72,565,-44,439,
,-,-,-,-,-,-,870,"7,609.80","10,155.45",870,"47,100.00",900,0.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,870,"7,457.95","9,894.80",870,"47,200.00",900,1.05,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,870,"7,382.30","9,410.70",870,"47,300.00",900,1.15,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,"7,328.15","9,711.75",870,"47,400.00",900,2.15,-,-,-,-,-,-,-,-,
,14,-,-,-,"6,043.95",-,870,"7,207.35","9,357.65",870,"47,500.00","21,600",44.65,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,30,"8,140.65","9,486.55",870,"47,600.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,90,"8,134.15","9,349.30",870,"47,700.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,870,"6,965.25","9,236.25",870,"47,800.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,900,"6,882.15","9,134.35",870,"47,900.00",-,-,-,-,-,-,-,-,-,-,
,75,-5,8,-,"7,911.00","3,124.40",900,"6,841.65","8,578.80",870,"48,000.00","16,740",56.40,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,870,"6,808.00","8,944.15",870,"48,100.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,870,"6,718.30","8,590.40",870,"48,200.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,870,"6,619.30","8,706.10",870,"48,300.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,870,"6,530.70","8,553.10",870,"48,400.00",600,59.95,-,-,-,-,-,-,-,-,
,2,-1,1,-,"7,100.00","1,750.00",900,"7,481.60","8,336.70",390,"48,500.00",60,141.10,261.80,60,-520.60,211.05,30.09,345,-131,398,
,-,-,-,-,-,-,870,"6,267.10","8,272.35",870,"48,600.00",600,66.30,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,870,"6,205.90","8,119.70",870,"48,700.00",600,69.75,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,870,"6,098.95","7,967.40",870,"48,800.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,870,"6,033.40","7,817.50",870,"48,900.00",-,-,-,-,-,-,-,-,-,-,
